                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1371,                 1.9337,                 1.1502,                0.84424,                0.76347,                0.82326,                0.59983,                0.93781,                 1.0056,                 1.0112,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.1649,                 1.2132,                 1.1733,                0.84563,                0.75316,                0.81623,                0.58193,                 1.0198,                0.93048,                 1.0752,              0.0066513,              0.0066513,              0.0066513
                      3,                 1.2626,                 1.2157,                 1.2359,                0.83105,                0.72734,                 0.7983,                0.55477,                 1.0823,                0.94719,                  1.117,              0.0099582,              0.0099582,              0.0099582
                      4,                 1.2701,                 1.2077,                 1.2536,                0.84674,                0.75179,                0.81716,                0.58561,                 1.0138,                0.87073,                 1.0975,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1755,                 1.0828,                 1.2126,                 0.8834,                0.78943,                0.86188,                0.64029,                0.92804,                0.75668,                 1.0617,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1177,                 1.0206,                 1.1821,                0.89475,                0.80919,                0.88134,                0.66824,                0.86242,                0.67956,                 1.0236,               0.009901,               0.009901,               0.009901
                      7,                 1.0805,                0.97504,                 1.1689,                0.89615,                0.81558,                0.88453,                0.68353,                0.82765,                  0.662,                 1.0174,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.0555,                0.94963,                 1.1552,                0.90485,                0.83128,                0.89684,                0.69665,                0.79988,                0.61765,                0.98943,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0304,                0.92059,                 1.1432,                0.90837,                0.83266,                0.90098,                0.70958,                0.77561,                 0.5916,                0.97989,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0091,                0.89255,                 1.1328,                0.91043,                0.84034,                0.90597,                0.71416,                0.75599,                0.57399,                0.97384,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0003,                0.87773,                 1.1262,                0.91831,                0.84672,                0.91525,                0.73302,                0.72756,                0.54515,                  0.956,               0.009802,               0.009802,               0.009802
                     12,                0.97893,                0.86372,                 1.1154,                0.92138,                0.84154,                0.91531,                0.73535,                0.71931,                0.53521,                0.95797,              0.0097822,              0.0097822,              0.0097822
                     13,                0.97409,                0.85177,                 1.1101,                 0.9245,                0.85142,                0.92406,                0.74602,                 0.6955,                0.51492,                0.94323,              0.0097624,              0.0097624,              0.0097624
                     14,                0.95695,                0.82458,                 1.0998,                0.92768,                0.85495,                 0.9267,                 0.7524,                0.68884,                0.50011,                0.93587,              0.0097426,              0.0097426,              0.0097426
                     15,                0.94767,                0.82444,                 1.0977,                0.92997,                 0.8586,                0.92949,                0.75806,                0.67909,                0.49021,                 0.9336,              0.0097228,              0.0097228,              0.0097228
                     16,                0.93962,                 0.8066,                 1.0949,                0.93261,                0.85793,                0.92839,                0.76108,                0.66982,                0.48173,                0.92968,               0.009703,               0.009703,               0.009703
